,WordA,WordB,AlphaN,Corpus Sentence,Form,Percept,Culture,Power,Intense,Icon,Freq,Len,Lapse,*BStress,OverallFreq,RelFreq,model.prop,Extremity,Experimental sentence,,,Notes,Too weird?,"""",
270,intensities,rhythms,976,"The musician employing the serial technique of composition establishes a mathematical system of rotations that , *-3 once set *-2 in motion , *T*-1 determines the sequence of pitches and even of rhythms and intensities .",0,0,0,0,0,0,-0.4779911001,-1,-1,0,129,0,0.48492844,0.51507156,The sequence of X and Y can be determined by a mathematical system established by the composer.,The sequence of intensities and rhythms can be determined by a mathematical system established by the composer.,The sequence of rhythms and intensities can be determined by a mathematical system established by the composer.,,,"""alpha""; 270; The sequence of intensities and rhythms can be determined by a mathematical system established by the composer.","""nonalpha""; 270; The sequence of rhythms and intensities can be determined by a mathematical system established by the composer."
271,intelligence,mentality,596,"Although he is perfectly willing * to cooperate with Scotland Yard , Holmes has nothing but contempt for the intelligence and mentality of the police .",-1,0,0,0,0,0,2.513252579,0,0,0,156,0.5064102564,0.51465086,0.51465086,Despite his contempt for the police's X and Y the detective is perfectly willing to cooperate with them.,Despite his contempt for the police's intelligence and mentality the detective is perfectly willing to cooperate with them.,Despite his contempt for the police's mentality and intelligence the detective is perfectly willing to cooperate with them.,,,"""alpha""; 271; Despite his contempt for the police's intelligence and mentality the detective is perfectly willing to cooperate with them.","""nonalpha""; 271; Despite his contempt for the police's mentality and intelligence the detective is perfectly willing to cooperate with them."
272,costume,decor,Mr. Nikolais has made a distinctive contribution to the arts of costume and decor .,Mr. Nikolais has made a distinctive contribution to the arts of costume and decor .,To the arts of costume and decor Mr. Nikolais has made a distinctive contribution.,To the arts of decor and costume Mr. Nikolais has made a distinctive contribution.,,,,,,,,-1,839,0.6615017878,0.51360725,0.51360725,To the arts of X and Y Mr. Nikolais has made a distinctive contribution.,To the arts of costume and decor Mr. Nikolais has made a distinctive contribution.,To the arts of decor and costume Mr. Nikolais has made a distinctive contribution.,,,"""alpha""; 272; To the arts of costume and decor Mr. Nikolais has made a distinctive contribution.","""nonalpha""; 272; To the arts of decor and costume Mr. Nikolais has made a distinctive contribution."
273,rhythm,ritual,975,"The style of life chosen * by the beat generation , the rhythm and ritual 0 they have adopted *T*-1 as uniquely their own , is designed *-2 to enhance the value of the sexual experience .",0,0,0,0,0,0,-0.1818529322,1,1,0,297,0.6734006734,0.51192149,0.51192149,x,x,x,,,"""alpha""; 273; x","""nonalpha""; 273; x"
274,clothing,physiognomy,"His name is Praisegod Piepsam , and he is rather fully described *-1 as to his clothing and physiognomy in a way which *T*-2 relates him to a sinister type in the author 's repertory -- he is a forerunner of those enigmatic strangers in `` Death In Venice '' *ICH*-4 , for example , who *T*-3 represent some combination of cadaver , exotic , and psychopomp .","His name is Praisegod Piepsam , and he is rather fully described *-1 as to his clothing and physiognomy in a way which *T*-2 relates him to a sinister type in the author 's repertory -- he is a forerunner of those enigmatic strangers in `` Death In Venice '' *ICH*-4 , for example , who *T*-3 represent some combination of cadaver , exotic , and psychopomp .",x,x,physiognomy,yes,,,,,,0,0,NA,0.48817699,0.51182301,x,x,x,physiognomy,yes,"""alpha""; 274; x","""nonalpha""; 274; x"
275,tension,terror,1144,It has identified itself with the very tension and terror 0 it once did so much 0 *T*-1 to alleviate *T*-2 .,0,0,0,0,-1,0,0.4691515333,0,0,0,918,0.6699346405,0.51116839,0.51116839,The news caused X and Y as soon as the latest report came out.,The news caused tension and terror as soon as the latest report came out.,The news caused terror and tension as soon as the latest report came out.,,,"""alpha""; 275; The news caused tension and terror as soon as the latest report came out.","""nonalpha""; 275; The news caused terror and tension as soon as the latest report came out."
276,hearsay,legend,520,"If our sincerity is granted *-1 , and it is granted *-2 , the discrepancy can only be explained *-3 by the fact that we have come *-4 to believe hearsay and legend about ourselves in preference to an understanding gained * by earnest self-examination .",0,0,0,0,-1,0,-1.814308387,0,1,1,435,0.4942528736,0.51096299,0.51096299,People who fill their heads with X and Y have a hard time accepting the truth.,People who fill their heads with hearsay and legend have a hard time accepting the truth.,People who fill their heads with legend and hearsay have a hard time accepting the truth.,,,"""alpha""; 276; People who fill their heads with hearsay and legend have a hard time accepting the truth.","""nonalpha""; 276; People who fill their heads with legend and hearsay have a hard time accepting the truth."
277,hope,smiles,1073,"In between teratologies , she was a pretty and shapely woman ; ; but the nicest thing about their relationship was her whisper to him , repeated some thousands of time , repeated with smiles and hope , `` People never live forever '' .",0,-1,0,0,0,0,2.717512203,0,0,0,245,0.6081632653,0.51000411,0.51000411,The little girl raised with X and Y had not the slightest idea of suffering.,The little girl raised with hope and smiles had not the slightest idea of suffering.,The little girl raised with smiles and hope had not the slightest idea of suffering.,,,"""alpha""; 277; The little girl raised with hope and smiles had not the slightest idea of suffering.","""nonalpha""; 277; The little girl raised with smiles and hope had not the slightest idea of suffering."
278,amateurs,collectors,The knowledge that most Americans have *T*-1 of folklore comes through contact with commercial propagandists and a few energetic amateurs and collectors .,The knowledge that most Americans have *T*-1 of folklore comes through contact with commercial propagandists and a few energetic amateurs and collectors .,The fossil hand book for amateurs and collectors alike is one of the best selling books in the store.,The fossil hand book for collectors and amateurs alike is one of the best selling books in the store.,,,,,,,,1,577,0.5528596187,0.50854518,0.50854518,The fossil hand book for X and Y alike is one of the best selling books in the store.,The fossil hand book for amateurs and collectors alike is one of the best selling books in the store.,The fossil hand book for collectors and amateurs alike is one of the best selling books in the store.,,,"""alpha""; 278; The fossil hand book for amateurs and collectors alike is one of the best selling books in the store.","""nonalpha""; 278; The fossil hand book for collectors and amateurs alike is one of the best selling books in the store."
279,medicines,yeast,724,"*-1 Anticipating delivery of medicines and yeast by plane , Granite City citizens formed an airfield committee and with the aid of quarrymen and the 172nd Infantry , Vermont National Guard , laid out runways on Wilson flat , high on Millstone Hill .",0,0,1,0,0,0,-0.4201231859,-2,-2,-1,0,NA,0.50835954,0.50835954,A delivery of X and Y arrived by plane this morning.,A delivery of medicines and yeast arrived by plane this morning.,A delivery of yeast and medicines arrived by plane this morning.,,,"""alpha""; 279; A delivery of medicines and yeast arrived by plane this morning.","""nonalpha""; 279; A delivery of yeast and medicines arrived by plane this morning."
